municipio_ocorrencia,uf_ocorrencia,sigla_uf,total_denuncias,chave_unica,id_municipio,populacao,taxa_denuncias_100k_hab
Areado,Minas Gerais,MG,1,AREADO - MG,3104304,13752.0000,7.2717
Astolfo Dutra,Minas Gerais,MG,3,ASTOLFO DUTRA - MG,3104601,14239.0000,21.0689
Barbacena,Minas Gerais,MG,7,BARBACENA - MG,3105608,122894.0000,5.6960
Belford Roxo,Rio de Janeiro,RJ,2,BELFORD ROXO - RJ,3300456,446731.0000,0.4477
Belo Horizonte,Minas Gerais,MG,40,BELO HORIZONTE - MG,3106200,2392678.0000,1.6718
Betim,Minas Gerais,MG,4,BETIM - MG,3106705,428956.0000,0.9325
Cabo Frio,Rio de Janeiro,RJ,92,CABO FRIO - RJ,3300704,214057.0000,42.9792
Cambuquira,Minas Gerais,MG,3,CAMBUQUIRA - MG,3110707,12309.0000,24.3724
Campanha,Minas Gerais,MG,4,CAMPANHA - MG,3110905,15856.0000,25.2270
Campos dos Goytacazes,Rio de Janeiro,RJ,110,CAMPOS DOS GOYTACAZES - RJ,3301009,474667.0000,23.1741
Caratinga,Minas Gerais,MG,5,CARATINGA - MG,3113404,88311.0000,5.6618
Contagem,Minas Gerais,MG,6,CONTAGEM - MG,3118601,615621.0000,0.9746
Duque de Caxias,Rio de Janeiro,RJ,3,DUQUE DE CAXIAS - RJ,3301702,782799.0000,0.3832
Itapeva,Minas Gerais,MG,1,ITAPEVA - MG,3133600,12305.0000,8.1268
Japeri,Rio de Janeiro,RJ,1,JAPERI - RJ,3302270,96595.0000,1.0353
JoÃ£o Monlevade,Minas Gerais,MG,1,JOAO MONLEVADE - MG,3136207,75838.0000,1.3186
Juiz de Fora,Minas Gerais,MG,2,JUIZ DE FORA - MG,3136702,557777.0000,0.3586
Lavras,Minas Gerais,MG,1,LAVRAS - MG,3138203,98602.0000,1.0142
MONTES CLAROS,Minas Gerais,MG,1,MONTES CLAROS - MG,3143302,436970.0000,0.2288
Manga,Minas Gerais,MG,4,MANGA - MG,3139300,18882.0000,21.1842
Mesquita,Rio de Janeiro,RJ,3,MESQUITA - RJ,3302858,168849.0000,1.7767
Montes Claros,Minas Gerais,MG,7,MONTES CLAROS - MG,3143302,436970.0000,1.6019
Muzambinho,Minas Gerais,MG,1,MUZAMBINHO - MG,3144102,21935.0000,4.5589
Nova Friburgo,Rio de Janeiro,RJ,12,NOVA FRIBURGO - RJ,3303401,204625.0000,5.8644
Nova Serrana,Minas Gerais,MG,1,NOVA SERRANA - MG,3145208,114497.0000,0.8734
Ouro Branco,Minas Gerais,MG,1,OURO BRANCO - MG,3145901,39206.0000,2.5506
Paraopeba,Minas Gerais,MG,1,PARAOPEBA - MG,3147402,23776.0000,4.2059
Patos de Minas,Minas Gerais,MG,1,PATOS DE MINAS - MG,3148004,159434.0000,0.6272
Pedras de Maria da Cruz,Minas Gerais,MG,4,PEDRAS DE MARIA DA CRUZ - MG,3149150,10445.0000,38.2958
Ponte Nova,Minas Gerais,MG,1,PONTE NOVA - MG,3152105,58779.0000,1.7013
Pouso Alegre,Minas Gerais,MG,2,POUSO ALEGRE - MG,3152501,162028.0000,1.2344
Queimados,Rio de Janeiro,RJ,4,QUEIMADOS - RJ,3304144,139194.0000,2.8737
Resende,Rio de Janeiro,RJ,1,RESENDE - RJ,3304201,128460.0000,0.7785
Rio de Janeiro,Rio de Janeiro,RJ,111,RIO DE JANEIRO - RJ,3304557,6625849.0000,1.6753
Salinas,Minas Gerais,MG,1,SALINAS - MG,3157005,39969.0000,2.5019
Santa Luzia,Minas Gerais,MG,3,SANTA LUZIA - MG,3157807,213709.0000,1.4038
Santa Maria Madalena,Rio de Janeiro,RJ,1,SANTA MARIA MADALENA - RJ,3304607,9704.0000,10.3050
Santos Dumont,Minas Gerais,MG,2,SANTOS DUMONT - MG,3160702,44140.0000,4.5310
Sete Lagoas,Minas Gerais,MG,7,SETE LAGOAS - MG,3167202,233398.0000,2.9992
SÃ£o Joaquim de Bicas,Minas Gerais,MG,1,SAO JOAQUIM DE BICAS - MG,3162922,34677.0000,2.8838
SÃ£o JoÃ£o de Meriti,Rio de Janeiro,RJ,5,SAO JOAO DE MERITI - RJ,3305109,393773.0000,1.2698
SÃ£o JoÃ£o del Rei,Minas Gerais,MG,1,SAO JOAO DEL REI - MG,3162500,93778.0000,1.0663
Ubaporanga,Minas Gerais,MG,9,UBAPORANGA - MG,3170057,12805.0000,70.2850
Uberaba,Minas Gerais,MG,7,UBERABA - MG,3170107,359090.0000,1.9494
UberlÃ¢ndia,Minas Gerais,MG,1,UBERLANDIA - MG,3170206,725536.0000,0.1378
UbÃ¡,Minas Gerais,MG,2,UBA - MG,3169901,98705.0000,2.0262
Varginha,Minas Gerais,MG,1,VARGINHA - MG,3170701,137078.0000,0.7295
