id_municipio,uf,homicidio_media,homicidio_cv,roubo_veiculo_media,furto_veiculo_media,total_crimes_violentos,proporcao_roubo_furto,tendencia_homicidios,volatilidade_crimes,nome_municipio,is_capital,cluster,indice_criminalidade,is_hotspot
3300159,RJ,0.04,4.654,0.03,0.33,0.28,0.1119,0.0425,1.22,Aperibé,0,9,0.0002,False
3300209,RJ,4.44,0.5835,5.5,10.52,36.98,0.3424,0.0143,47.25,Araruama,0,10,0.0166,True
3300225,RJ,0.04,5.1179,0.05,0.19,0.2,0.1033,0.0428,0.89,Areal,0,9,0.0001,False
3300233,RJ,1.16,1.1031,1.09,3.53,11.84,0.2073,0.0252,27.0,Armação dos Búzios,0,10,0.0049,False
3300258,RJ,0.92,1.081,0.33,2.03,3.84,0.11,0.0243,14.36,Arraial do Cabo,0,10,0.0034,False
3300308,RJ,1.72,0.8726,0.36,1.63,5.44,0.1431,0.0207,13.59,Barra do Piraí,0,10,0.0059,False
3300506,RJ,0.26,2.2581,0.05,0.58,1.15,0.1511,0.0366,3.16,Bom Jardim,0,9,0.0009,False
3300605,RJ,0.3,1.7196,0.08,0.9,1.41,0.0647,0.0323,9.54,Bom Jesus do Itabapoana,0,9,0.0013,False
3300803,RJ,1.24,1.0033,1.23,2.01,8.83,0.3746,0.0233,10.12,Cachoeiras de Macacu,0,10,0.0045,False
3300902,RJ,0.15,3.3516,0.02,0.37,0.37,0.0606,0.0403,2.1,Cambuci,0,9,0.0005,False
3300936,RJ,0.2,2.5772,0.44,0.21,1.27,0.4865,0.0388,1.31,Carapebus,0,10,0.0007,False
3300951,RJ,0.03,5.7439,0.02,0.06,0.21,0.1283,0.0431,0.8,Comendador Levy Gasparian,0,9,0.0001,False
3301108,RJ,0.16,2.7245,0.22,0.45,1.21,0.1707,0.0387,3.31,Cantagalo,0,9,0.0007,False
3301157,RJ,0.15,2.5442,0.1,0.43,0.64,0.1,0.0384,2.72,Cardoso Moreira,0,9,0.0006,False
3301207,RJ,0.07,4.1788,0.18,0.26,0.75,0.1134,0.0416,3.32,Carmo,0,9,0.0003,False
3301306,RJ,1.34,0.9389,1.58,1.67,8.53,0.407,0.0219,8.76,Casimiro de Abreu,0,10,0.0047,False
3301405,RJ,0.67,1.2293,0.73,0.56,2.75,0.3495,0.0271,2.93,Conceição de Macabu,0,10,0.0022,False
3301504,RJ,0.16,2.5889,0.06,0.55,1.02,0.0682,0.0377,7.1,Cordeiro,0,9,0.0007,False
