ano,mes,homicidio_doloso,latrocinio,lesao_corporal_morte,crimes_violentos_letais_intencionais,homicidio_intervencao_policial,letalidade_violenta,homicidio_culposo,roubo_transeunte,roubo_celular,roubo_corporal_coletivo,roubo_rua,roubo_veiculo,roubo_carga,roubo_comercio,roubo_residencia,roubo_banco,roubo_caixa_eletronico,roubo_conducao_saque,roubo_apos_saque,roubo_bicicleta,outros_roubo,total_roubos,furto_veiculos,furto_transeunte,furto_coletivo,furto_celular,furto_bicicleta,outros_furtos,total_furtos,policial_militar_morto_servico,policial_civil_morto_servico,registro_ocorrencia,tipo_fase,data_referencia,UF
1991,6,647,14,,,,661,,831,,342,1173,1354,82,518,178,37,,,,,81,3423,1992,673,,,,3519,6184,0,,,"Consolidado com errata","01/06/1991","RJ"
1991,12,638,16,,,,654,,1022,,358,1380,1563,157,563,242,24,,,,,131,4060,1930,1028,,,,3563,6521,0,,,"Consolidado com errata","01/12/1991","RJ"
1991,8,557,11,,,,568,,813,,299,1112,1347,71,498,189,29,,,,,88,3334,1835,794,,,,3641,6270,0,,,"Consolidado com errata","01/08/1991","RJ"
1991,3,713,25,,,,738,,963,,422,1385,1265,71,443,191,43,,,,,131,3529,2084,1062,,,,3573,6719,0,,,"Consolidado com errata","01/03/1991","RJ"
1991,7,558,14,,,,572,,797,,308,1105,1365,82,496,186,25,,,,,94,3353,1978,700,,,,3604,6282,0,,,"Consolidado com errata","01/07/1991","RJ"
1991,4,634,20,,,,654,,1186,,354,1540,1415,81,425,199,36,,,,,112,3808,2085,1195,,,,3290,6570,0,,,"Consolidado com errata","01/04/1991","RJ"
1991,5,650,20,,,,670,,931,,335,1266,1449,82,553,231,27,,,,,147,3755,2185,723,,,,3546,6454,0,,,"Consolidado com errata","01/05/1991","RJ"
1991,11,577,13,,,,590,,978,,409,1387,1600,94,569,239,26,,,,,97,4012,2039,884,,,,3601,6524,0,,,"Consolidado com errata","01/11/1991","RJ"
1991,2,732,17,,,,749,,963,,432,1395,1097,64,357,171,35,,,,,142,3261,1850,1066,,,,3309,6225,0,,,"Consolidado com errata","01/02/1991","RJ"
1991,9,542,19,,,,561,,805,,281,1086,1353,91,473,199,12,,,,,90,3304,1993,810,,,,3460,6263,0,,,"Consolidado com errata","01/09/1991","RJ"
1991,1,657,15,,,,672,,967,,381,1348,1174,63,350,188,37,,,,,158,3318,2009,1147,,,,3561,6717,0,,,"Consolidado com errata","01/01/1991","RJ"
1991,10,613,21,,,,634,,834,,328,1162,1470,83,561,228,16,,,,,107,3627,1999,862,,,,3621,6482,0,,,"Consolidado com errata","01/10/1991","RJ"
