ano,mes,taxa_homicidio_doloso,taxa_latrocinio,taxa_lesao_corporal_morte,taxa_crimes_violentos_letais_intencionais,taxa_homicidio_intervencao_policial,taxa_letalidade_violenta,taxa_homicidio_culposo,taxa_roubo_transeunte,taxa_roubo_celular,taxa_roubo_corporal_coletivo,taxa_roubo_rua,taxa_roubo_veiculo,taxa_roubo_carga,taxa_roubo_comercio,taxa_roubo_residencia,taxa_roubo_banco,taxa_roubo_caixa_eletronico,taxa_roubo_conducao_saque,taxa_roubo_apos_saque,taxa_roubo_bicicleta,taxa_outros_roubos,taxa_total_roubos,taxa_furto_veiculos,taxa_furto_transeunte,taxa_furto_coletivo,taxa_furto_celular,taxa_furto_bicicleta,taxa_outros_furtos,taxa_total_furtos,taxa_policial_militar_morto_servico,taxa_policial_civil_morto_servico,taxa_registro_ocorrencia,data_referencia,UF
2003,10,329,11,1,341,89,43,126,981,86,232,2074,7788,244,379,96,0,1,18,163,,1878,6673,1046,464,21,434,,4561,6526,,,30443,"01/10/2003","RJ"
2003,3,417,11,3,432,77,508,128,1046,668,465,2179,8599,211,436,121,5,1,22,129,,1696,679,1248,642,37,44,,5104,7471,,,30913,"01/03/2003","RJ"
2003,7,355,11,5,372,67,439,132,94,686,287,1912,739,218,514,117,3,0,15,187,,1691,637,1124,491,24,386,,4442,6468,,,30092,"01/07/2003","RJ"
2004,1,389,8,3,4,52,452,126,932,878,216,2026,7633,197,31,114,1,3,18,154,,1934,6556,1176,544,23,534,,4664,694,,,30493,"01/01/2004","RJ"
2004,3,356,11,1,368,55,423,125,1029,937,307,2273,7873,261,367,121,3,0,13,19,,1984,7082,1142,501,32,541,,4957,7173,,,32014,"01/03/2004","RJ"
2004,8,347,9,4,36,6,42,159,1296,532,379,2208,6971,203,303,89,1,0,1,146,,102,564,1035,5,151,599,,4133,6418,,,31312,"01/08/2004","RJ"
2004,7,337,1,1,348,46,394,154,1175,713,391,228,7989,245,381,108,3,0,13,161,,122,6311,1079,517,118,521,,406,6294,,,30054,"01/07/2004","RJ"
2004,5,407,12,3,423,69,492,136,1138,939,258,2336,8626,323,378,1,3,0,7,152,,129,6647,1194,453,4,49,,4512,6689,,,31153,"01/05/2004","RJ"
2005,3,452,17,1,47,62,532,165,1904,366,537,2807,8352,293,307,111,1,7,13,115,,1073,675,1199,624,225,855,,4378,7282,,,33226,"01/03/2005","RJ"
2005,12,305,12,3,321,51,371,158,2205,371,497,3073,693,326,257,108,0,4,11,89,,528,6112,1188,977,281,921,,3728,7095,,,32588,"01/12/2005","RJ"
2005,9,351,8,3,362,73,435,148,2008,371,506,2885,7068,225,242,96,0,5,12,84,,535,582,1135,665,226,823,,3268,6118,,,31043,"01/09/2005","RJ"
2005,8,371,12,4,386,78,465,131,2145,462,516,3123,661,264,268,122,1,5,12,101,,941,6456,1131,717,287,903,,4499,7536,,,33284,"01/08/2005","RJ"
2005,4,348,1,2,36,44,404,157,1787,39,564,274,8313,236,29,88,2,1,13,105,,1058,6552,1169,605,23,786,,409,688,,,32448,"01/04/2005","RJ"
2005,10,331,1,3,344,69,413,156,2261,422,507,3191,7424,205,266,91,0,4,7,92,,54,6224,1172,77,251,96,,3442,6595,,,33001,"01/10/2005","RJ"
2005,6,322,11,3,337,77,413,162,1993,412,545,2951,683,262,279,95,1,7,1,98,,903,6272,1187,684,232,79,,4177,7071,,,32446,"01/06/2005","RJ"
2006,2,342,13,3,357,46,403,119,2195,348,477,302,7484,253,286,101,3,3,7,67,,611,6213,1186,135,237,989,,3721,7483,,,32776,"01/02/2006","RJ"
2006,10,359,8,1,369,57,426,128,2733,443,59,3766,7526,257,238,98,1,7,1,109,,931,7332,1302,979,317,1091,,4687,8376,,,33821,"01/10/2006","RJ"
2006,11,343,1,5,358,57,415,148,27,418,563,3681,7323,276,268,89,3,5,1,119,,885,7203,1193,1027,325,107,,476,8374,,,32936,"01/11/2006","RJ"
2006,8,307,9,4,32,81,401,158,2583,492,577,3651,6868,255,248,105,2,4,14,117,,537,667,1267,1061,327,1178,,4028,7861,,,34258,"01/08/2006","RJ"
2006,3,398,15,4,417,6,477,157,2293,373,504,317,8109,242,278,97,3,2,14,93,,543,6464,1204,935,234,93,,3874,7177,,,33445,"01/03/2006","RJ"
2006,4,379,2,2,401,66,467,139,2624,454,613,3692,8111,243,307,105,2,6,6,99,,645,7132,1239,926,288,1008,,3803,7263,,,32889,"01/04/2006","RJ"
2006,1,315,8,3,326,43,369,139,2245,368,543,3157,7033,226,222,95,2,5,7,74,,56,6094,1204,959,244,1076,,39,7384,,,33783,"01/01/2006","RJ"
2007,1,342,5,5,351,76,427,118,2773,394,545,3713,7189,269,214,85,1,3,11,103,,873,7117,1276,1205,267,1196,,4805,8749,,,33458,"01/01/2007","RJ"
